"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.199209806E0,-1.867500114E1,5.062500238E-1,-4.993125153E1,5.331174201E1
1.209209806E0,-1.848750114E1,5.812500119E-1,-5.017500305E1,5.347575602E1
1.219209806E0,-1.833750153E1,6.750000119E-1,-4.996875381E1,5.323153149E1
1.229209806E0,-1.833750153E1,6.750000119E-1,-5.000625229E1,5.326673310E1
1.239209806E0,-1.843125153E1,7.875000238E-1,-4.968750381E1,5.300169077E1
1.249209806E0,-1.856250000E1,5.437500477E-1,-4.980000305E1,5.314981067E1
1.259209806E0,-1.854375076E1,3.375000060E-1,-4.963125229E1,5.298344838E1
1.269209806E0,-1.860000038E1,3.562500179E-1,-4.974375153E1,5.310864096E1
1.279209806E0,-1.890000153E1,1.687500030E-1,-4.968750381E1,5.316094967E1
1.289209806E0,-1.906875038E1,3.562500179E-1,-4.936875153E1,5.292464249E1
1.299209806E0,-1.908750153E1,2.250000089E-1,-4.953750229E1,5.308811046E1
1.309209806E0,-1.925625038E1,1.500000060E-1,-4.935000229E1,5.297403519E1
1.319209806E0,-1.914375114E1,3.000000119E-1,-4.951875305E1,5.309124327E1
1.329209806E0,-1.912500000E1,4.125000238E-1,-4.976250076E1,5.331268389E1
1.339209806E0,-1.933125114E1,5.625000000E-1,-4.970625305E1,5.333596600E1
1.349209806E0,-1.921875000E1,5.437500477E-1,-4.996875381E1,5.354000722E1
1.359209806E0,-1.912500000E1,5.437500477E-1,-4.983750153E1,5.338387254E1
1.369209806E0,-1.912500000E1,5.250000358E-1,-4.972500229E1,5.327867399E1
1.379209806E0,-1.899375153E1,5.062500238E-1,-4.968750381E1,5.319649351E1
1.389209806E0,-1.903125000E1,5.625000000E-1,-4.991250229E1,5.342062118E1
1.399209806E0,-1.918125153E1,3.750000000E-1,-5.006250381E1,5.361264145E1
1.409209806E0,-1.925625038E1,4.312500060E-1,-4.965000153E1,5.325515756E1
1.419209806E0,-1.921875000E1,3.000000119E-1,-4.961250305E1,5.320574039E1
1.429209806E0,-1.914375114E1,3.187500238E-1,-4.957500076E1,5.314381911E1
1.439209806E0,-1.927500153E1,3.000000119E-1,-4.948125076E1,5.310376504E1
1.449209806E0,-1.910625076E1,7.500000298E-2,-4.957500076E1,5.312941882E1
1.459209806E0,-1.921875000E1,1.500000060E-1,-4.966875076E1,5.325755959E1
1.469209806E0,-1.925625038E1,3.750000149E-2,-4.953750229E1,5.314855330E1
1.479209806E0,-1.903125000E1,1.125000045E-1,-4.944375229E1,5.298005071E1
1.489209806E0,-1.899375153E1,-5.625000224E-2,-4.989375305E1,5.338681817E1
1.499209806E0,-1.906875038E1,-1.125000045E-1,-4.991250229E1,5.343114992E1
1.509209806E0,-1.927500153E1,-2.625000179E-1,-4.970625305E1,5.331328336E1
1.519209806E0,-1.903125000E1,-1.687500030E-1,-5.000625229E1,5.350553449E1
1.529209806E0,-1.936875153E1,-1.312500089E-1,-4.995000076E1,5.357395205E1
1.539209806E0,-1.927500153E1,-1.875000000E-1,-4.978125381E1,5.338290055E1
1.549209806E0,-1.914375114E1,3.750000149E-2,-4.966875076E1,5.323034301E1
1.559209806E0,-1.931250000E1,9.375000000E-2,-4.955625153E1,5.318649745E1
1.569209806E0,-1.929375076E1,1.875000000E-1,-4.940625381E1,5.304019128E1
1.579209806E0,-1.918125153E1,1.687500030E-1,-4.948125076E1,5.306922897E1
1.589209806E0,-1.918125153E1,4.500000179E-1,-4.944375229E1,5.303590812E1
1.599209806E0,-1.920000076E1,2.062500119E-1,-4.935000229E1,5.295380340E1
1.609209806E0,-1.905000114E1,1.500000060E-1,-4.925625229E1,5.281196297E1
1.619209806E0,-1.912500000E1,3.187500238E-1,-4.948125076E1,5.304961266E1
1.629209806E0,-1.899375153E1,2.062500119E-1,-4.953750229E1,5.305439915E1
1.639209806E0,-1.888125038E1,1.500000060E-1,-4.978125381E1,5.324187588E1
1.649209806E0,-1.863750076E1,3.187500238E-1,-4.985625076E1,5.322690839E1
1.659209806E0,-1.852500153E1,4.125000238E-1,-4.976250076E1,5.310039849E1
1.669209806E0,-1.845000076E1,2.812500000E-1,-5.011875153E1,5.340759201E1
1.679209806E0,-1.845000076E1,4.687500298E-1,-5.010000229E1,5.339131469E1
1.689209806E0,-1.833750153E1,5.437500477E-1,-5.000625229E1,5.326523157E1
1.699209806E0,-1.830000114E1,3.562500179E-1,-4.996875381E1,5.321553639E1
1.709209806E0,-1.837500000E1,2.625000179E-1,-4.976250076E1,5.304729978E1
1.719209806E0,-1.854375076E1,3.000000119E-1,-4.970625305E1,5.305348513E1
1.729209806E0,-1.856250000E1,7.500000298E-2,-4.970625305E1,5.305924635E1
1.739209806E0,-1.865625000E1,-1.312500089E-1,-4.978125381E1,5.316245030E1
1.749209806E0,-1.861875153E1,-1.312500089E-1,-4.953750229E1,5.292106639E1
1.759209806E0,-1.858125114E1,-1.875000000E-1,-4.938750076E1,5.276763480E1
1.769209806E0,-1.861875153E1,-1.687500030E-1,-4.959375381E1,5.297383130E1
1.779209806E0,-1.860000038E1,-2.250000089E-1,-4.951875305E1,5.289723568E1
1.789209806E0,-1.873125076E1,-1.125000045E-1,-4.996875381E1,5.336430239E1
1.799209806E0,-1.852500153E1,-2.250000089E-1,-4.995000076E1,5.327503057E1
1.809209806E0,-1.856250000E1,-9.375000000E-2,-4.983750153E1,5.318225036E1
1.819209806E0,-1.869375038E1,1.875000075E-2,-4.978125381E1,5.317546320E1
1.829209806E0,-1.882500076E1,-9.375000000E-2,-4.974375153E1,5.318674890E1
1.839209806E0,-1.880625153E1,7.500000298E-2,-4.995000076E1,5.337305779E1
1.849209806E0,-1.895625114E1,-1.875000075E-2,-5.011875153E1,5.358385077E1
1.859209806E0,-1.903125000E1,1.500000060E-1,-5.028750229E1,5.376842812E1
1.869209806E0,-1.910625076E1,3.750000149E-2,-4.985625076E1,5.339190917E1
1.879209806E0,-1.931250000E1,1.875000000E-1,-5.002500153E1,5.362376889E1
1.889209806E0,-1.948125076E1,1.875000075E-2,-4.993125153E1,5.359710218E1
1.899209806E0,-1.935000038E1,3.000000119E-1,-5.000625229E1,5.362031129E1
1.909209806E0,-1.933125114E1,3.750000000E-1,-4.991250229E1,5.352658947E1
1.919209806E0,-1.903125000E1,4.312500060E-1,-5.010000229E1,5.359463296E1
1.929209806E0,-1.893750000E1,4.687500298E-1,-5.011875153E1,5.357926733E1
1.939209806E0,-1.901250076E1,5.250000358E-1,-4.985625076E1,5.336100215E1
1.949209806E0,-1.905000114E1,5.437500477E-1,-4.989375305E1,5.340959466E1
1.959209806E0,-1.882500076E1,4.687500298E-1,-4.978125381E1,5.322380681E1
1.969209806E0,-1.869375038E1,6.375000477E-1,-4.989375305E1,5.328460663E1
1.979209806E0,-1.871250153E1,4.875000119E-1,-4.989375305E1,5.328960464E1
1.989209806E0,-1.850625038E1,5.062500238E-1,-5.002500153E1,5.334077587E1
1.999209806E0,-1.890000153E1,4.687500298E-1,-4.987500381E1,5.333803324E1
2.009209806E0,-1.886250114E1,3.750000000E-1,-4.970625305E1,5.316621264E1
2.019209806E0,-1.878750038E1,3.187500238E-1,-4.968750381E1,5.312174515E1
2.029209806E0,-1.858125114E1,4.687500298E-1,-4.970625305E1,5.306782653E1
2.039209806E0,-1.888125038E1,5.250000358E-1,-4.968750381E1,5.315661084E1
2.049209806E0,-1.899375153E1,5.625000000E-1,-4.948125076E1,5.300446378E1
2.059209806E0,-1.903125000E1,4.875000119E-1,-4.953750229E1,5.306967369E1
2.069209806E0,-1.921875000E1,5.250000358E-1,-4.940625381E1,5.301522322E1
2.079209806E0,-1.914375114E1,4.687500298E-1,-4.927500153E1,5.286519375E1
2.089209806E0,-1.906875038E1,5.250000358E-1,-4.929375076E1,5.285609454E1
2.099209806E0,-1.908750153E1,6.000000238E-1,-4.955625153E1,5.310851890E1
2.109209806E0,-1.918125153E1,7.125000358E-1,-4.966875076E1,5.324859499E1
2.119209806E0,-1.897500038E1,8.250000477E-1,-4.983750153E1,5.333392750E1
2.129209806E0,-1.893750000E1,9.000000358E-1,-5.017500305E1,5.363739216E1
2.139209806E0,-1.890000153E1,9.187500477E-1,-5.026875305E1,5.371221177E1
2.149209806E0,-1.871250153E1,1.106250048E0,-5.019375229E1,5.357979350E1
2.159209806E0,-1.865625000E1,1.087500095E0,-5.038125229E1,5.373554599E1
2.169209806E0,-1.878750038E1,1.181250095E0,-5.051250076E1,5.390619868E1
2.179209806E0,-1.871250153E1,1.068750024E0,-5.058750153E1,5.394807921E1
2.189209806E0,-1.854375076E1,9.562500119E-1,-5.034375381E1,5.365891030E1
2.199209806E0,-1.869375038E1,7.875000238E-1,-5.043750381E1,5.379608025E1
2.209209806E0,-1.880625153E1,5.625000000E-1,-5.025000381E1,5.365682050E1
2.219209806E0,-1.876875114E1,5.625000000E-1,-5.015625381E1,5.355587944E1
2.229209806E0,-1.891875076E1,6.000000238E-1,-5.034375381E1,5.378450222E1
2.239209806E0,-1.869375038E1,5.250000358E-1,-5.038125229E1,5.374013873E1
2.249209806E0,-1.863750076E1,6.187500358E-1,-5.023125076E1,5.358094661E1
2.259209806E0,-1.878750038E1,5.625000000E-1,-5.023125076E1,5.363268714E1
2.269209806E0,-1.880625153E1,5.812500119E-1,-5.058750153E1,5.397321798E1
2.279209806E0,-1.873125076E1,7.500000000E-1,-5.036250305E1,5.373829146E1
2.289209806E0,-1.848750114E1,1.068750024E0,-5.045625305E1,5.374721758E1
