"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.665123078E0,-2.285625076E1,2.362500000E1,-6.712500000E1,7.474165137E1
4.675123078E0,-2.296875000E1,2.366250038E1,-6.748125458E1,7.510790318E1
4.685123078E0,-2.298750114E1,2.411250114E1,-6.742500305E1,7.520617632E1
4.695123078E0,-2.296875000E1,2.426250076E1,-6.759375000E1,7.539991684E1
4.705123078E0,-2.289375114E1,2.446875191E1,-6.798750305E1,7.579672970E1
4.715123078E0,-2.328750038E1,2.461875153E1,-6.813750458E1,7.609934383E1
4.725123078E0,-2.325000000E1,2.476875114E1,-6.866250610E1,7.660674434E1
4.735123078E0,-2.345625114E1,2.471250153E1,-6.858750153E1,7.658425958E1
4.745123078E0,-2.356875038E1,2.476875114E1,-6.901875305E1,7.702314782E1
4.755123078E0,-2.370000076E1,2.499375153E1,-6.924375153E1,7.733740865E1
4.765123078E0,-2.370000076E1,2.493750191E1,-6.963750458E1,7.767207401E1
4.775123078E0,-2.411250114E1,2.490000153E1,-6.982500458E1,7.795482058E1
4.785123078E0,-2.448750114E1,2.508750153E1,-7.020000458E1,7.846694264E1
4.795123078E0,-2.443125153E1,2.535000038E1,-7.059375000E1,7.888590565E1
4.805123078E0,-2.476875114E1,2.546250153E1,-7.053750610E1,7.897702061E1
4.815123078E0,-2.456250191E1,2.596875191E1,-7.141875458E1,7.986445443E1
4.825123078E0,-2.448750114E1,2.638125038E1,-7.168125153E1,8.021103356E1
4.835123078E0,-2.446875191E1,2.660625076E1,-7.194375610E1,8.051407605E1
4.845123078E0,-2.456250191E1,2.709375191E1,-7.203750610E1,8.078855227E1
4.855123078E0,-2.460000038E1,2.754375076E1,-7.241250610E1,8.128584911E1
4.865123078E0,-2.445000076E1,2.786250114E1,-7.282500458E1,8.171660051E1
4.875123078E0,-2.465625191E1,2.795625114E1,-7.299375153E1,8.196078634E1
4.885123078E0,-2.478750038E1,2.825625038E1,-7.338750458E1,8.245339101E1
4.895123078E0,-2.512500191E1,2.833125114E1,-7.350000000E1,8.268116782E1
4.905123078E0,-2.551875114E1,2.838750076E1,-7.383750153E1,8.312059607E1
4.915123078E0,-2.578125191E1,2.874375153E1,-7.451250458E1,8.392252105E1
4.925123078E0,-2.619375038E1,2.902500153E1,-7.492500305E1,8.451224382E1
4.935123078E0,-2.634375191E1,2.911875153E1,-7.503750610E1,8.469074493E1
4.945123078E0,-2.671875191E1,2.923125076E1,-7.531875610E1,8.509566820E1
