"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.537156475E0,-4.650000095E0,-3.800625229E1,-2.885625076E1,4.794560378E1
1.547156475E0,-5.325000286E0,-3.780000305E1,-2.866875076E1,4.773984844E1
1.557156475E0,-5.981250286E0,-3.774375153E1,-2.866875076E1,4.777304056E1
1.567156475E0,-6.675000191E0,-3.770625305E1,-2.835000038E1,4.764493329E1
1.577156475E0,-7.425000191E0,-3.735000229E1,-2.825625038E1,4.741907827E1
1.587156475E0,-8.212500572E0,-3.723750305E1,-2.831250191E1,4.749394239E1
1.597156475E0,-8.981250763E0,-3.701250076E1,-2.803125191E1,4.728994778E1
1.607156475E0,-9.787500381E0,-3.678750229E1,-2.791875076E1,4.720775500E1
1.617156475E0,-1.048125076E1,-3.648750305E1,-2.780625153E1,4.705722177E1
1.627156475E0,-1.115625000E1,-3.645000076E1,-2.776875114E1,4.716108576E1
1.637156475E0,-1.171875000E1,-3.639375305E1,-2.761875153E1,4.716598137E1
1.647156475E0,-1.209375095E1,-3.622500229E1,-2.767500114E1,4.716370735E1
1.657156475E0,-1.284375095E1,-3.626250076E1,-2.748750114E1,4.728100696E1
1.667156475E0,-1.314375019E1,-3.613125229E1,-2.743125153E1,4.723027759E1
1.677156475E0,-1.350000095E1,-3.579375076E1,-2.760000038E1,4.717205360E1
1.687156475E0,-1.385625076E1,-3.560625076E1,-2.748750114E1,4.706764810E1
1.697156475E0,-1.438125038E1,-3.523125076E1,-2.767500114E1,4.705281162E1
1.707156475E0,-1.468125057E1,-3.478125000E1,-2.771250153E1,4.683222406E1
1.717156475E0,-1.541250038E1,-3.420000076E1,-2.773125076E1,4.664983911E1
1.727156475E0,-1.616250038E1,-3.376875305E1,-2.761875153E1,4.652258094E1
1.737156475E0,-1.642500114E1,-3.337500000E1,-2.769375038E1,4.637472477E1
1.747156475E0,-1.711875153E1,-3.307500076E1,-2.748750114E1,4.628790391E1
1.757156475E0,-1.771875000E1,-3.309375000E1,-2.733750153E1,4.643801654E1
1.767156475E0,-1.807500076E1,-3.286875153E1,-2.713125038E1,4.629433255E1
1.777156475E0,-1.850625038E1,-3.285000229E1,-2.694375038E1,4.634187780E1
1.787156475E0,-1.899375153E1,-3.283125305E1,-2.673750114E1,4.640633299E1
1.797156475E0,-1.936875153E1,-3.279375076E1,-2.677500153E1,4.655619541E1
1.807156475E0,-1.953750038E1,-3.285000229E1,-2.660625076E1,4.656961618E1
1.817156475E0,-2.002500153E1,-3.286875153E1,-2.602500153E1,4.646134111E1
1.827156475E0,-2.011875153E1,-3.271875000E1,-2.581875038E1,4.628054273E1
1.837156475E0,-1.991250038E1,-3.255000305E1,-2.598750114E1,4.616666098E1
1.847156475E0,-2.026875114E1,-3.266250229E1,-2.596875191E1,4.639005717E1
1.857156475E0,-2.051250076E1,-3.283125305E1,-2.585625076E1,4.655319074E1
1.867156475E0,-2.068125153E1,-3.277500153E1,-2.580000114E1,4.655700751E1
1.877156475E0,-2.049375153E1,-3.286875153E1,-2.542500114E1,4.633335043E1
1.887156475E0,-2.064375114E1,-3.279375076E1,-2.555625153E1,4.641892440E1
1.897156475E0,-2.051250076E1,-3.266250229E1,-2.604375076E1,4.653900189E1
1.907156475E0,-2.066250038E1,-3.256875229E1,-2.621250153E1,4.663429836E1
1.917156475E0,-2.094375038E1,-3.255000305E1,-2.602500153E1,4.664165609E1
1.927156475E0,-2.083125114E1,-3.238125229E1,-2.611875153E1,4.652607554E1
1.937156475E0,-2.068125153E1,-3.208125305E1,-2.643750191E1,4.643126607E1
1.947156475E0,-2.049375153E1,-3.206250000E1,-2.651250076E1,4.637790912E1
1.957156475E0,-2.019375038E1,-3.195000076E1,-2.688750076E1,4.638456425E1
1.967156475E0,-1.976250076E1,-3.187500191E1,-2.716875076E1,4.631104837E1
1.977156475E0,-1.957500076E1,-3.189375114E1,-2.739375114E1,4.637682200E1
1.987156475E0,-1.921875000E1,-3.196875191E1,-2.767500114E1,4.644638994E1
1.997156475E0,-1.878750038E1,-3.185625076E1,-2.786250114E1,4.630453383E1
2.007156475E0,-1.850625038E1,-3.172500038E1,-2.821875191E1,4.631689661E1
2.017156475E0,-1.786875153E1,-3.157500076E1,-2.865000153E1,4.622873070E1
2.027156475E0,-1.721250153E1,-3.123750114E1,-2.908125114E1,4.601924439E1
2.037156475E0,-1.683750153E1,-3.086250114E1,-2.953125191E1,4.591394422E1
2.047156475E0,-1.621875000E1,-3.033750153E1,-2.992500114E1,4.559514825E1
2.057156475E0,-1.524375057E1,-2.970000076E1,-3.056250191E1,4.526067277E1
2.067156475E0,-1.426875019E1,-2.896875191E1,-3.127500153E1,4.495454971E1
2.077156475E0,-1.346250057E1,-2.846250153E1,-3.215625000E1,4.500419235E1
2.087156475E0,-1.239375019E1,-2.784375191E1,-3.286875153E1,4.482448428E1
2.097156475E0,-1.166250038E1,-2.726250076E1,-3.335625076E1,4.463067698E1
2.107156475E0,-1.068750000E1,-2.656875038E1,-3.405000305E1,4.449184039E1
2.117156475E0,-9.618750572E0,-2.589375114E1,-3.483750153E1,4.445962464E1
2.127156475E0,-8.737500191E0,-2.536875153E1,-3.551250076E1,4.450904598E1
2.137156475E0,-7.837500095E0,-2.482500076E1,-3.605625153E1,4.447201755E1
2.147156475E0,-7.143750191E0,-2.437500191E1,-3.635625076E1,4.435031966E1
2.157156475E0,-6.375000477E0,-2.364375114E1,-3.671250153E1,4.413020924E1
2.167156475E0,-5.662500381E0,-2.310000038E1,-3.693750000E1,4.393236659E1
2.177156475E0,-5.306250095E0,-2.295000076E1,-3.736875153E1,4.417332244E1
2.187156475E0,-5.062500000E0,-2.300625038E1,-3.736875153E1,4.417397484E1
2.197156475E0,-4.800000191E0,-2.347500038E1,-3.695625305E1,4.404407207E1
2.207156475E0,-4.631250381E0,-2.413125038E1,-3.654375076E1,4.403647857E1
2.217156475E0,-4.893750191E0,-2.486250114E1,-3.592500305E1,4.396246806E1
2.227156475E0,-4.818750381E0,-2.574375153E1,-3.566250229E1,4.424675318E1
2.237156475E0,-4.856250286E0,-2.685000038E1,-3.502500153E1,4.439883353E1
2.247156475E0,-4.706250191E0,-2.799375153E1,-3.451875305E1,4.469164606E1
2.257156475E0,-4.350000381E0,-2.908125114E1,-3.363750076E1,4.467799379E1
2.267156475E0,-3.787500143E0,-3.009375191E1,-3.283125305E1,4.469754175E1
2.277156475E0,-3.450000048E0,-3.103125191E1,-3.225000000E1,4.488767754E1
2.287156475E0,-3.000000000E0,-3.191250038E1,-3.174375153E1,4.511178828E1
2.297156475E0,-2.268750191E0,-3.283125305E1,-3.120000076E1,4.534841179E1
2.307156475E0,-1.762500048E0,-3.371250153E1,-3.043125153E1,4.544997508E1
2.317156475E0,-1.143750072E0,-3.461250305E1,-2.958750153E1,4.554946518E1
2.327156475E0,-5.812500119E-1,-3.553125000E1,-2.868750191E1,4.567034425E1
2.337156475E0,-2.625000179E-1,-3.641250229E1,-2.758125114E1,4.568002456E1
2.347156475E0,-1.500000060E-1,-3.748125076E1,-2.671875191E1,4.602997243E1
2.357156475E0,1.125000045E-1,-3.849375153E1,-2.572500038E1,4.629856593E1
2.367156475E0,7.500000298E-2,-3.939375305E1,-2.430000114E1,4.628567230E1
2.377156475E0,7.500000298E-2,-4.025625229E1,-2.326875114E1,4.649737899E1
2.387156475E0,7.500000298E-2,-4.085625076E1,-2.240625000E1,4.659698371E1
2.397156475E0,1.875000075E-2,-4.140000153E1,-2.154375076E1,4.667005116E1
2.407156475E0,-1.875000000E-1,-4.186875153E1,-2.077500153E1,4.674000641E1
2.417156475E0,-5.437500477E-1,-4.216875076E1,-2.034375000E1,4.682272279E1
2.427156475E0,-9.562500119E-1,-4.224375153E1,-2.004375076E1,4.676751973E1
2.437156475E0,-1.575000048E0,-4.218750000E1,-1.963125038E1,4.655804735E1
2.447156475E0,-2.118750095E0,-4.220625305E1,-1.963125038E1,4.659659741E1
2.457156475E0,-3.018750191E0,-4.224375153E1,-1.950000000E1,4.662507261E1
2.467156475E0,-3.806250095E0,-4.235625076E1,-1.948125076E1,4.677668917E1
2.477156475E0,-4.687500000E0,-4.260000229E1,-1.980000114E1,4.720988134E1
2.487156475E0,-5.531250000E0,-4.267500305E1,-2.006250000E1,4.747899028E1
2.497156475E0,-6.131250381E0,-4.276875305E1,-2.056875038E1,4.785218868E1
2.507156475E0,-6.900000095E0,-4.303125000E1,-2.062500000E1,4.821502984E1
2.517156475E0,-7.237500191E0,-4.333125305E1,-2.105625153E1,4.871698501E1
2.527156475E0,-7.593750477E0,-4.359375000E1,-2.120625114E1,4.906918761E1
2.537156475E0,-7.481250286E0,-4.391250229E1,-2.137500000E1,4.940817329E1
2.547156475E0,-7.687500477E0,-4.417500305E1,-2.120625114E1,4.960074239E1
